Date,Open,High,Low,Close,Adj Close,Volume
2009-11-30,24.680000,26.020000,24.420000,25.760000,25.760000,2390815
2009-12-31,25.910000,26.559999,24.430000,24.670000,24.670000,2786187
2010-01-31,24.500000,25.200001,23.540001,24.709999,24.709999,1835956
2010-02-28,24.940001,26.530001,24.700001,26.340000,26.340000,1617504
2010-03-31,26.500000,27.170000,25.139999,25.379999,25.379999,2318204
2010-04-30,25.250000,25.500000,22.840000,24.180000,24.180000,4016043
2010-05-31,23.950001,25.410000,23.420000,23.500000,23.500000,1960622
2010-06-30,23.230000,25.070000,22.770000,24.690001,24.690001,2596092
2010-07-31,25.049999,25.490000,23.889999,24.450001,24.450001,2101864
2010-08-31,24.719999,25.940001,24.660000,24.820000,24.820000,1662802
2010-09-30,24.860001,25.690001,24.590000,25.320000,25.320000,1082848
2010-10-31,25.420000,26.190001,24.469999,24.790001,24.790001,1512591
2010-11-30,25.000000,26.610001,24.950001,26.170000,26.170000,4071432
2010-12-31,26.219999,27.200001,26.090000,26.530001,26.530001,894347
2011-01-31,26.600000,27.740000,26.590000,27.120001,27.120001,978784
2011-02-28,27.290001,27.290001,24.709999,25.930000,25.930000,1013269
2011-03-31,26.200001,26.709999,25.690001,26.650000,26.650000,714277
2011-04-30,26.770000,26.860001,25.889999,26.639999,26.639999,1403649
2011-05-31,26.680000,26.680000,25.190001,25.990000,25.990000,575545
2011-06-30,25.990000,26.500000,24.879999,25.180000,25.180000,1770091
2011-07-31,25.270000,25.420000,20.830000,22.440001,22.440001,3131322
2011-08-31,22.400000,22.590000,20.059999,21.700001,21.700001,2699001
2011-09-30,21.230000,23.950001,20.680000,23.190001,23.190001,1684725
2011-10-31,22.670000,23.170000,21.049999,23.070000,23.070000,1961810
2011-11-30,23.010000,23.730000,22.660000,23.730000,23.730000,1376226
2011-12-31,23.830000,24.700001,23.639999,24.200001,24.200001,1345880
2012-01-31,24.480000,25.209999,24.480000,24.830000,24.830000,2431590
2012-02-29,24.830000,25.719999,24.420000,24.740000,24.740000,389158
2012-03-31,24.760000,25.180000,23.870001,24.100000,24.100000,679981
2012-04-30,24.400000,24.430000,22.719999,22.870001,22.870001,1533335
2012-05-31,22.920000,24.219999,22.389999,24.219999,24.219999,754151
2012-06-30,24.350000,25.280001,23.750000,24.870001,24.870001,1133950
2012-07-31,24.959999,25.889999,24.780001,25.170000,25.170000,1112954
2012-08-31,25.309999,26.040001,24.950001,25.320000,25.320000,1186917
2012-09-30,25.480000,26.080000,25.170000,25.280001,25.280001,796832
2012-10-31,25.240000,25.790001,24.540001,25.570000,25.570000,744134
2012-11-30,25.650000,26.120001,25.580000,25.809999,25.809999,660982
2012-12-31,26.320000,26.730000,26.170000,26.450001,26.450001,664952
2013-01-31,26.450001,26.600000,25.950001,26.549999,26.549999,489075
2013-02-28,26.520000,27.469999,26.340000,27.190001,27.190001,771875
2013-03-31,27.200001,27.559999,26.309999,27.400000,27.400000,649239
2013-04-30,27.440001,28.760000,27.440001,27.809999,27.809999,944773
2013-05-31,27.629999,27.850000,25.549999,26.440001,26.440001,853350
2013-06-30,26.680000,27.680000,26.180000,27.090000,27.090000,756926
2013-07-31,27.330000,27.830000,26.860001,26.879999,26.879999,452468
2013-08-31,27.330000,28.549999,27.129999,28.000000,28.000000,1645829
2013-09-30,28.010000,28.950001,27.389999,28.920000,28.920000,577865
2013-10-31,28.850000,29.370001,28.690001,29.170000,29.170000,495428
2013-11-30,29.270000,29.410000,27.750000,29.260000,29.260000,568292
2013-12-31,29.049999,30.120001,28.260000,28.639999,28.639999,4601738
2014-01-31,28.740000,29.969999,28.090000,29.879999,29.879999,648377
2014-02-28,29.450001,29.860001,28.230000,29.430000,29.430000,668280
2014-03-31,29.520000,30.030001,28.969999,29.950001,29.950001,621251
2014-04-30,29.920000,31.010000,29.629999,30.799999,30.799999,829958
2014-05-31,30.889999,31.370001,30.610001,30.740000,30.740000,431355
2014-06-30,30.830000,31.370001,29.879999,29.879999,29.879999,1300733
2014-07-31,29.600000,30.799999,28.969999,30.690001,30.690001,407398
2014-08-31,30.709999,31.580000,30.700001,30.990000,30.990000,799134
2014-09-30,30.709999,30.709999,27.230000,30.120001,30.120001,1695290
2014-10-31,30.180000,30.240000,29.540001,30.030001,30.030001,130665
2014-11-30,31.150000,31.260000,28.209999,30.230000,30.230000,1788920
2014-12-31,30.400000,32.970001,29.209999,32.259998,32.259998,819889
2015-01-31,32.270000,34.410000,32.029999,34.349998,34.349998,559941
2015-02-28,34.380001,35.599998,34.009998,34.889999,34.889999,1035740
2015-03-31,35.009998,36.630001,34.619999,34.660000,34.660000,1427768
2015-04-30,34.730000,35.889999,33.650002,35.060001,35.060001,646379
2015-05-31,35.230000,35.310001,33.400002,33.500000,33.500000,723718
2015-06-30,34.070000,36.099998,32.869999,34.650002,34.650002,589060
2015-07-31,34.750000,35.279999,29.150000,31.480000,31.480000,2918130
2015-08-31,30.959999,31.889999,29.270000,30.129999,30.129999,2771069
2015-09-30,30.490000,33.020000,29.750000,32.650002,32.650002,1099532
2015-10-31,32.439999,33.400002,31.760000,33.320000,33.320000,1278345
2015-11-30,33.419998,33.419998,29.990000,31.629999,31.629999,1726982
2015-12-31,30.680000,30.980000,27.530001,29.379999,29.379999,3582497
2016-01-31,29.440001,29.469999,25.820000,28.340000,28.340000,1956184
2016-02-29,28.920000,29.350000,28.230000,28.400000,28.400000,907821
2016-03-31,27.910000,30.180000,27.549999,29.150000,29.150000,3592377
2016-04-30,29.200001,29.940001,28.049999,29.629999,29.629999,1629359
2016-05-31,29.540001,29.740000,26.650000,28.620001,28.620001,831042
2016-06-30,28.760000,29.629999,27.870001,29.410000,29.410000,970566
2016-07-31,29.580000,29.580000,28.660000,29.020000,29.020000,960856
2016-08-31,29.150000,29.740000,28.500000,28.950001,28.950001,1016838
2016-09-30,29.160000,29.330000,28.260000,28.690001,28.690001,784013
2016-10-31,28.780001,28.990000,27.740000,28.730000,28.730000,605697
2016-11-30,28.559999,30.660000,28.280001,29.850000,29.850000,912665
2016-12-31,30.570000,31.100000,30.330000,30.330000,30.330000,1514525
2017-01-31,30.500000,31.559999,30.370001,31.190001,31.190001,939912
2017-02-28,31.430000,32.360001,31.379999,32.360001,32.360001,776081
2017-03-31,32.410000,32.799999,31.770000,32.700001,32.700001,1382379
2017-04-30,32.650002,33.619999,32.650002,33.349998,33.349998,3042056
